CensusTract,holc_grade
34013007600,D
26163577100,C
34013007700,D
34013008200,D
36065021102,C
27053109700,B
27053109300,B
6037535802,C
6037535902,C
6037540201,C
6037275200,C
27053102100,C
34013010600,C
34013010700,C
27053009600,B
34013010800,C
34013011100,C
27053005901,D
34013011200,C
27053002200,C
6037273200,D
26163577400,C
26163577200,C
6037272302,C
6037272301,C
36061026700,B
34013000400,D
36061026100,C
36061017401,D
31055006202,B
31055006000,B
31055004800,A
31055004700,A
31055004600,A
31055004500,A
31055004400,A
31055003900,B
6037433305,C
6037433402,C
36061013000,A
31055002600,B
36061018000,D
31055000600,B
31055000300,B
42003180700,C
36061018200,D
29510121200,D
36061012200,A
36061018400,D
36061018500,C
36061018600,D
6037461501,C
36061017402,D
39035106400,C
36061025900,D
36061017200,D
36061014602,D
42003080900,C
36061014601,D
55025001604,C
55025001603,C
36061015001,A
36061015002,A
36061015400,D
36061015601,D
36061015602,D
36061016001,A
42003051100,D
36061016100,B
36061016400,D
36061016500,B
36061016600,D
36061016900,B
36061017000,D
31055007468,B
36061014200,A
31055007459,B
31055007002,B
31055006906,B
36061012000,A
39035105300,C
29510116100,B
36061018800,D
36061022200,D
36061022400,D
36061022600,D
6037301801,C
36061022800,D
36061023000,D
39035102800,C
6037481605,C
36061023900,C
6037481711,C
29095006700,C
29095006500,C
29095005602,C
6037482202,C
6037482301,C
6037482303,C
6037482304,C
6037301204,C
6037482502,C
36061024301,C
29095001800,D
36061024900,C
36061025700,D
36061022102,D
36061022000,D
36061021800,D
36061019400,D
36061018900,C
6037462100,C
6037462201,C
36061019000,D
39035111500,D
42003210700,D
42003220600,D
29510107500,B
29510107400,B
29510107200,B
36061019702,D
36061021600,D
36061020000,D
36061020101,B
36061020102,D
36061020300,B
36061020701,B
36061020800,D
6037480303,C
39035111800,C
6037480304,C
36061021500,D
6037576502,C
42049002500,B
34023004100,C
36081006300,C
34017017000,D
26099255900,C
36081006501,C
36081006502,C
6037232700,C
6037232600,C
36081006900,C
6037232400,C
6037232300,C
6037232200,C
6037232120,C
6037232110,C
36081007100,C
36081007300,C
26081013700,C
26081013500,C
42091202202,B
6037231600,C
6037231500,C
34017017400,C
34017017500,C
6037231210,C
6037231100,D
55079005200,C
26099256200,C
36081009500,C
34017016500,C
6037237401,C
26125173400,C
36081001000,C
36081001200,C
6037237102,C
36081001400,C
34017013600,D
36081001600,C
36081001800,C
26125153200,C
36081002200,C
36081002400,C
36081002600,C
42079200600,A
36081002800,C
34017015300,C
34017015500,D
36081003000,C
36081005100,D
36081005200,C
36081005400,C
36081005900,D
34017016300,C
6073001200,C
36081009700,C
6037576904,C
34021000500,C
36081011500,C
34021000700,C
6073002707,C
36081011700,C
36081011800,C
55079006000,B
36081012000,C
55079006100,B
36081012200,C
36081012400,C
36081012500,C
36081012601,C
36081012602,C
36005035600,C
6037222001,D
36081013000,C
6073003001,D
42101001102,D
26075000900,B
6073003112,D
42101001600,D
36081014300,C
42101002000,D
36081011300,C
36081011000,C
36081009800,C
6073002502,D
6037229100,D
34017018600,D
6037228720,D
6037228710,D
6073001700,C
6037228410,D
6037228310,D
6037228220,D
36081010000,C
36081010100,C
6037227020,D
36081010200,C
6037226700,D
6037226420,D
6037226410,D
6073002201,C
34017018800,D
6073002202,C
36081010400,C
36081010600,C
34017019100,D
6073002302,C
36081010800,C
6037237402,C
6037237500,C
6037237600,C
6037601501,C
6037601502,C
36061002601,D
6037601700,C
6037601801,C
6037601802,C
26163531500,C
26163531400,C
26163531300,C
55079003500,C
6037602103,C
36061002202,D
6037602104,C
36061002201,D
26163530900,C
6037602404,D
36061001800,D
6037602505,D
36061001600,D
36061001402,D
26163526300,D
26163525800,D
36061001401,D
39035116100,D
6037265304,C
26163531800,C
6037237710,C
26163532200,C
36061003800,D
6037577400,B
26163537000,B
26163536900,B
26163536800,B
26163534400,C
26163534300,C
26163534100,C
36061003602,D
26163533500,C
36061003601,D
26163533300,C
26163533200,C
36061003400,D
34013019700,C
6037601202,C
55079002900,D
6037601212,C
36061003200,D
36061003002,D
36061003001,D
26163532300,C
34013020700,B
36061001200,D
26163525400,D
26163524800,C
6037620521,D
26163512600,C
26163512400,C
6037240500,C
6037240401,C
6037240300,C
6037240200,C
26163504000,B
26163503900,B
6037239702,C
6037239701,C
6037239601,C
34017010200,C
26163501900,B
26163501000,A
6037239320,C
6037239310,C
26145001600,C
6037239201,C
6037238320,C
6037238100,B
26125184100,C
6037702802,C
36081000800,C
26163514200,C
26163514500,C
55079004200,C
26163517300,D
34017002300,D
26163522200,D
34017002400,D
26163522100,D
34017003100,D
34017003500,D
26163520400,D
34017004300,D
34017004400,D
26163520300,D
26163517100,D
34017006400,D
34017005500,C
26163517000,D
34017005600,C
26163516900,D
6037241120,C
6037241110,C
26163516800,D
26163516700,D
26163516600,D
34017006200,C
36005035000,C
42101031700,B
36047025901,D
36047030300,D
36047030700,D
36047030900,D
17031460301,D
36047031701,C
36047101200,D
17031431200,C
17031420700,D
36047032800,D
49035100306,D
36047101000,D
17031410800,C
17031410700,C
36047033300,B
36047033500,B
17031410600,C
17031410500,C
36047033900,C
17031410200,C
17031400500,D
55079101700,C
36047034200,D
17031390600,C
17031390500,C
17031491000,C
17031491300,C
36047099200,D
36047030100,D
17031650302,C
36047027300,D
36047027400,B
36047027500,D
36047027700,D
17031650100,C
36047027900,D
17031640800,C
36047028100,D
17031630800,C
17031630400,C
17031611800,C
36047028501,D
36047028502,D
36047028700,D
17031611700,C
36047028900,D
36047029100,D
36047029300,D
36047029500,D
36047029700,D
17031610800,D
36047029900,D
17031381800,D
36047099000,D
36047014000,B
13121002500,D
17031301803,C
36047096600,D
17031301802,C
36047039100,D
17031301702,C
36047096400,D
13121003700,D
36047096200,D
13121003800,D
17031301701,C
17031300900,C
36047040100,C
17031300800,C
17031300700,C
17031300600,C
36047040600,C
4013111602,B
17031300500,C
36047095800,D
36047040800,C
17031292400,C
36047041000,C
36047041200,C
36047038900,D
17031340300,D
36047098800,D
36047038700,D
17031381500,D
17031381400,D
17031381200,D
17031380700,D
17031380200,D
17031380100,D
17031360200,D
36047036200,C
36047036300,D
36047036400,C
36047036501,D
17031351500,D
17031351400,D
36047097400,D
36047097000,D
17031351100,D
36047096800,D
36047037300,C
17031350400,D
36047038100,D
17031340400,D
36047038300,D
36047038500,D
17031660301,C
36047027100,D
36047026900,D
17031837400,D
17031837000,D
36047018501,D
36047018600,C
36047018700,D
36047018800,C
17031836000,D
17031835900,D
17031835800,D
36047019400,D
17031834800,D
17031834700,D
36047019800,C
36047020000,C
36047111800,D
36047020300,D
36047020400,B
36047020600,B
17031832000,C
17031831000,D
36085023100,D
36047111600,D
36085023900,D
36047021200,D
36047018400,C
36047018200,C
17031660302,C
36047018100,C
36047014200,B
36047014300,D
18097310204,C
36047014500,D
36047014700,D
36047015000,C
48113000800,C
36047015200,B
48113003800,C
36047016000,B
36047016500,B
36047017000,C
17031841700,C
36047017200,C
17031841600,C
17031841400,C
17031840100,D
17031839600,D
17031839200,D
36047112000,D
17031838300,D
36047017800,C
36047018000,C
36085031901,D
17031814600,C
36047021700,C
36047021900,C
17031691300,C
17031681100,D
17031680900,D
17031680600,D
36047025902,D
17031671500,C
36047026100,D
17031671400,C
17031671300,C
6001401800,D
17031671200,C
17031670900,D
36047102400,D
39035141602,B
36047026300,D
17031670400,C
17031660800,C
17031660700,C
17031660600,C
17031660500,C
36047026500,D
17031660400,C
36047026700,D
49035103700,A
17031710600,B
48245010200,A
36047023600,C
36047022000,C
17031813802,C
36047022400,D
36047022700,D
36047022900,D
36047023000,D
36047023100,D
36047023300,D
36047023400,C
36047023500,D
36047024100,D
36047025300,D
36047024300,D
36047024500,D
17031810701,C
17031810100,C
36047024700,D
36047024900,D
17031809800,C
48245005500,A
36047025100,D
48245006400,A
36047041300,C
17031280900,D
36047041700,D
36047065600,B
17031110501,C
17031081100,D
17031081000,D
17031080400,D
17031080300,D
17031071800,D
36047067400,B
17031071700,D
36047068000,C
17031071600,D
36047069000,C
36047073200,B
36047073400,B
36047073600,B
36047073800,B
36047074000,B
36047074200,B
36047074400,B
36047074800,B
36047075000,B
36047075200,B
36047075400,B
36047075600,B
36047065800,B
36047065400,B
17031160800,C
17031140301,C
17031160501,C
17031160400,C
36047058800,D
36047059200,C
36047059401,C
17031160300,C
17031151002,C
17031151001,C
36047091600,D
17031150800,C
17031150700,C
36047091200,D
17031150600,C
17031140701,C
36047062600,D
36047090600,D
36047063600,B
17031140500,C
36047064000,B
36047064200,B
36047064600,B
36047064800,B
36047065000,B
36047075800,B
17031010702,C
17031071100,D
36047076200,B
36047083800,B
36047084000,B
17031031501,C
36047084800,B
36047085000,B
17031031800,C
17031031900,C
36047086200,B
17031061500,C
17031061200,C
17031061100,C
17031061000,C
17031060400,C
17031060300,C
17031060200,C
17031040600,C
17031050100,C
17031050200,C
17031050500,C
17031050600,C
17031050800,C
17031050900,C
17031051000,C
17031061800,C
17031030900,C
17031062200,C
36047079602,B
36047076600,B
17031020302,B
17031071000,D
17031020602,B
17031020801,B
17031070103,C
36047079000,C
17031063400,C
36047079601,B
17031063301,C
36047079801,B
17031030701,C
17031063100,C
17031063000,C
17031062900,C
17031062800,C
17031030400,C
36047080600,C
17031030500,C
17031030603,C
17031062400,C
17031062300,C
17031160502,C
17031161300,C
55079180200,C
17031251900,C
36047093800,B
55079185800,D
17031251200,C
55079185900,D
36047093600,B
36047093400,B
36047045400,C
55079186000,D
17031242100,D
17031242000,D
17031241500,D
17031241400,D
17031241300,D
36047047200,C
36047047400,C
17031241200,D
36047048000,C
36047048100,D
17031240800,D
36047048400,C
17031240700,D
36047048800,C
36047048900,D
17031251400,C
36047044400,C
48453000804,D
17031252000,C
17031271800,D
36047041900,D
36047042000,C
36047042100,D
36047042200,C
17031271500,C
36047042300,D
36047042400,C
36047042500,D
36047042600,C
17031271400,C
55079185400,D
17031261000,C
36047043200,C
36047043400,C
55079185500,D
36047043800,C
17031260700,C
17031260600,C
36047044000,C
17031252202,C
36047044200,C
17031252102,C
36047049000,C
36047049100,D
17031240600,D
36047049400,C
17031220701,C
17031220602,C
17031220601,C
17031210602,C
36047052600,B
36047052700,D
17031210601,C
36047052900,D
17031210501,C
36047092400,D
36047054200,C
17031190702,C
36047054600,B
36047054800,B
36047055000,B
36047055400,C
17031170900,C
36047056000,B
36047056200,B
36047056400,B
17031170800,C
17031170700,C
48453000901,D
36047052000,B
17031221100,C
36047051800,B
36047050801,B
17031240500,D
36047049600,C
36047049700,D
36047049800,C
36047050000,C
36047050100,D
17031240300,D
17031240200,D
17031231200,C
17031230100,D
17031222200,D
17031221200,C
17031221600,D
36047050803,B
36047050804,B
17031221500,D
36047051001,B
36047051002,B
36047051100,D
36047051200,B
36047051300,D
17031221300,C
36047014100,D
6037402803,C
48113000405,C
24510100300,D
24510100200,D
36047116400,D
47037017902,A
36047116200,D
20209042400,D
20209042002,D
36081077500,B
36005039100,D
36047116600,D
20173003400,D
36029006901,C
36005038900,D
36081083800,C
36081084000,C
36047115600,D
36029008800,C
47037017300,D
55079020500,C
36081060100,C
47037013500,D
36081060800,C
9003502400,C
36047117202,C
24510070400,D
9003503500,C
24510080301,C
36047117000,D
47037013900,D
47037017100,C
24510080800,D
47037014300,D
47037014800,D
47037016000,D
21111002100,D
21111001700,C
24510100100,D
36081086100,C
39035183604,A
36047115000,D
36047004900,D
36081116700,C
48029130200,D
36081118500,C
36047004100,D
12057003300,D
36047004500,D
12057003400,D
12057003500,D
6001425103,D
36081119300,C
36081119500,C
36047005800,B
36047006000,B
36047006200,B
36047006300,D
36047006400,B
36081116300,C
48029110500,D
47157011700,D
36047002901,D
36005038800,D
47157002000,D
24510110100,D
36005038700,D
24510120300,C
24510130100,C
36081047300,C
36005038500,D
36005038200,D
47157003700,C
47157003900,D
47157004500,D
47157005900,C
24510150100,D
36005037600,C
36081060600,C
36081060000,C
36005037504,D
36005040600,D
36005042800,C
36081051300,C
36081051600,C
36081051800,C
36081052000,C
36005043600,C
36081048300,C
36081052200,C
39035119402,C
55079016800,D
24510020100,D
36005044901,B
36005044902,B
24510020200,D
36081052400,C
36005040501,B
36081051000,C
55079016900,D
36005039600,D
55079017400,D
36081049500,C
36005041300,B
36081050201,C
36005041100,B
36081050202,C
36081049301,C
36081050400,C
36005041900,B
36005042400,D
36081048400,C
36081050500,C
36081050600,C
36005040701,B
36081050800,C
36005042200,D
36005042300,B
24510040100,D
36081052600,C
36081053000,C
22071002900,D
24510040200,D
22071006300,C
36081055800,C
36081056200,C
55079016300,D
36081056400,C
22071003000,D
36047118201,C
36055001500,D
36047117602,C
24510060400,D
24510070200,C
9003500100,C
36005039800,D
36081058700,C
36081058900,C
6037124204,C
22071006400,C
6037124203,C
36005040302,B
36055001300,D
36081053200,C
36081053401,C
36081053601,C
36081053800,C
22071010600,D
36005040400,D
36005040304,B
36005040303,B
55079016400,D
36047121400,D
36047121000,D
22071008800,D
22071008600,D
36081055100,C
36047006500,D
55079017200,C
36047006600,B
18097330900,C
36047010100,D
18097352800,D
36047010200,C
18097352100,D
36047010400,C
18097360101,D
39035121200,C
24510160200,D
36047010600,C
36047009200,C
18097340500,C
36047007600,C
36005036700,D
36047011400,C
36081124100,C
18097331000,C
36047011600,C
36005036901,D
24510150800,B
36005037300,D
36047009600,C
36047006700,D
36005037100,D
18097342300,D
36081126500,C
36047008600,C
36047009400,C
36047008200,C
36047008000,C
36005036902,D
36047007800,C
36047009800,C
36047010000,C
24510160500,C
18097351900,D
36081125700,C
24510170100,D
24510150300,C
36047010800,C
18097357300,D
36047006900,D
48029160600,C
48029150502,C
18097320500,C
24510160100,D
36047013000,B
18097320400,C
24510170300,D
36047013200,B
36047013400,B
36047007400,C
12057004400,D
18097321400,C
36047013600,B
18097321600,C
48029160502,C
36047013800,B
18097322400,C
36005036502,D
36047006800,B
36005036300,D
18097322600,C
36005036000,C
18097322700,C
17031140702,C
17031140601,C
6037231300,C
36005046202,C
17031030800,C
17031260500,C
17031010501,C
36005039000,D
22071000903,D
25017350900,C
26163530800,C
36005015300,D
36081074900,B
36081026300,C
26163512300,C
34017016100,C
27053103400,D
36005007200,C
36081025800,D
48113005700,C
42101017900,D
36081009600,C
6037183221,C
36055002900,C
17031031700,C
36081026100,C
17031280800,D
26163516000,C
36047028300,D
17031020802,B
42101031501,B
17031241100,D
42101030600,B
6037183101,C
36061012800,A
17031814000,C
26163535600,B
34017015802,C
17031490700,C
6037620522,D
36047113000,D
36081047100,C
26163503100,C
17031180100,C
36081052800,C
17031062000,C
6085500902,C
47037017901,A
17031610400,D
55079186200,D
25025091200,C
36081057900,C
29510106100,C
48029150100,D
6037191201,C
17031830800,C
6037601600,C
6037218400,C
6073001800,C
36081062700,C
6037229200,D
42003472400,B
29095005100,C
6037238310,C
36081018102,C
25025170702,C
22071009200,D
6037602504,D
26163553800,C
27123032400,C
17031170400,C
55079017900,D
26163532400,C
42049002200,B
31055003401,B
25025080900,D
8031003703,C
6037228600,D
39049005900,B
25025090600,D
36047102200,D
18097340800,C
25017354700,C
26125180300,C
49035101700,C
8031000905,D
6037192610,C
34001001100,D
6037533701,C
17031221000,C
17031250600,C
19193001000,A
26163523200,D
48029190604,B
42003473200,A
24510271600,C
6073003601,D
48201410800,A
24510271801,B
42101008101,C
17031812900,C
25025080401,D
17031813702,C
36081145900,C
6075032700,B
17031241000,D
31055003700,A
25017357600,C
42003465600,B
4013111700,B
26099251900,C
26163573900,C
29510102400,B
42101009000,D
36081014000,C
4013113203,B
51760041000,C
24005401000,B
6037192700,D
36061028500,B
44007015500,B
31055003800,B
42101016902,D
36047041100,C
6037214400,C
6037532606,C
36081036300,D
22071002800,D
36005036800,D
12057004500,D
17031813200,C
1101000500,C
36085002900,D
25025080801,D
36005032400,C
6037189101,C
6037209810,D
42101017201,C
8031003702,C
26163500200,C
5119001300,C
26163537200,C
36085014100,C
18097351200,D
26163504200,B
42101028800,B
6075026402,D
42003030500,D
44007001900,C
25025082100,C
39035113500,D
29095008300,B
34017017600,C
39035121100,C
6001402400,D
36081064600,C
6075026003,D
34017000200,C
6037237201,C
42049002300,B
17031832400,D
36081027200,C
24510160400,C
36047027000,B
26163533400,C
34013020500,B
17031431301,C
36081072300,B
55079003200,C
41051008600,C
39095006100,B
42101009600,D
36005039300,D
8031003102,C
6037181400,C
6001404501,A
29510115300,B
34013020600,B
6037604001,D
17031031502,C
36005007900,D
36081050000,C
24510170200,D
17031611200,D
42101019501,C
17031190602,C
29095003700,D
39035140701,B
6037573403,D
17031190800,C
48113003700,C
36085011402,C
36081036700,C
55079101500,C
55079005300,C
17031834600,D
25017339600,C
31109002001,A
36081081800,C
19013000100,D
29510127100,D
44007015600,B
47037013300,D
6037480101,C
36081157903,C
18163001200,C
6075047702,B
36005034800,C
36005029700,B
6037216100,B
53033007401,C
6073001600,C
27123031200,C
26065003700,C
36081027500,C
6037267502,D
36081058300,C
42101031800,B
31055003000,C
25025010300,C
39095001301,A
6037192510,C
6037540202,C
17031835700,D
36005021502,C
6075047902,B
36081046200,C
55079002500,C
26075001000,B
36047076000,B
6037576402,C
39099801100,C
19153000101,C
17031680500,D
18097330500,C
47157001700,B
26163533000,C
26163543000,B
36005037800,C
42003090300,C
25005641800,A
25025101101,C
17031050700,C
39035112500,D
6037237720,C
31055005100,B
6037231710,C
9003416000,C
26163537800,C
6037602002,C
36081028100,B
48439104701,B
1073005101,D
6037621004,D
6037602105,C
48201412300,B
18097352400,D
31055003600,A
36055002100,B
47037016800,B
24510271900,B
36081044800,C
26125160000,B
36047114202,B
25025010404,C
34017014501,D
26163573701,B
6001410200,C
36081049302,C
6037573402,D
48029190601,B
26163542200,A
47157002600,B
26099263800,C
39035116500,D
42101009500,D
48201312700,A
26163538500,A
26145000800,C
26163506900,C
17031590600,D
18097320800,A
6001405500,C
25025000504,C
26163542900,B
36081054800,C
17031670800,D
19153002900,A
26163533600,C
26163527300,D
17031032100,C
36081119100,C
6001405301,C
36005014702,D
47037017702,A
26163500400,B
36047085800,C
6037601100,C
20173000600,D
27123034500,C
25025090400,D
25027732302,C
36081037500,D
6037575202,D
36081086500,C
6037481002,C
17031251300,C
48113001001,B
36005023501,B
24510060100,C
42101027000,A
29510107600,B
40109100400,C
41051008700,C
17031812802,C
6037212610,B
25017341700,C
44007001200,C
26163507400,C
36005035900,D
55079020400,C
8031000502,C
6037294200,D
6073003111,D
36005028100,C
36081011600,C
6073000900,C
34013023000,D
39095002100,B
26163543900,D
36005017701,C
39049001700,C
6037228420,D
6037215101,C
37119004900,D
6075031400,D
39035140900,B
48029140500,B
48113001204,C
44007000400,C
17031030703,C
25017351403,D
36047032600,D
36081027600,C
17031611300,D
36081059300,C
36047089400,C
26065003301,C
17031010701,C
26163569400,C
26163546400,D
26163507100,D
6037532800,D
19153000102,C
36081025400,D
29510103400,B
25025000703,C
36047016600,B
17031460302,D
6037531000,D
17031838200,D
6037534403,C
36081063302,C
36055003300,C
39035103400,C
44007015400,B
42091202201,B
26163574600,B
42101017202,C
36005035800,C
36081046900,C
36081054500,C
48029110600,D
26065002700,C
36081055600,C
34013013300,D
26049000700,C
17031020601,B
55079018700,C
17031611400,D
19163011900,C
39099801400,C
39035177202,C
42003050100,D
34039030802,C
6037530302,B
42003561200,C
36047051400,B
39113020300,A
36081069000,D
36047023800,C
36081055700,C
29510106600,C
6037221710,D
36055004800,C
40143003300,B
39035104600,D
17031161000,C
6075031301,C
34003003300,C
36047031900,B
36005044400,C
17031222800,D
36061002700,D
17031670100,D
36005032800,C
40143004301,A
48029190504,B
17031230200,D
27053111200,B
26125170400,C
49035103400,B
6075026404,D
17031843000,C
29510111100,D
17031170600,C
6037480302,C
34013020400,B
29189216800,B
26163545900,C
36081043400,D
44007015300,C
6037216401,C
36047076400,B
21111000900,B
47157001900,D
26163507200,D
39153503100,C
25005641300,B
36047090200,D
8031000401,C
18097330105,C
29510110400,C
17031650200,C
6037197700,D
17031150401,C
6073003201,D
17031440700,C
42101007102,C
17031210502,C
36005042000,C
6037197200,D
18097322500,C
29510119200,D
18097330401,C
6037183401,C
6037186201,C
6037604002,D
36081116100,C
6073003602,D
42101019502,C
6073002501,D
17031242200,D
47037017500,D
36081091900,C
36081003800,C
